Game Show Trivia,"Paleolithic (3,000,000–8,000 B.C.), Mesolithic (8,000–2,700 B.C.), Neolithic (2,700–1,900 B.C.), Bronze Age (1,900–500 B.C.), Iron Age (500–51 B.C.)",What are the five ages of prehistory and their dates?,,
Game Show Trivia,The tomb of Egyptian Pharaoh Khufu; oldest and only surviving wonder.,What is the Great Pyramid of Giza?,,
Game Show Trivia,"A legendary garden on the Euphrates, attributed to Nebuchadnezzar II, though undocumented in Babylonian sources.",What were the Hanging Gardens of Babylon?,,
Game Show Trivia,"A statue carved by Phidias in 422 B.C., smallest of the Seven Wonders; destroyed by fire in the 5th century A.D.",What was the Statue of Zeus at Olympia?,,
Game Show Trivia,A temple in Asia Minor built around 800 B.C.; destroyed and rebuilt multiple times.,What was the Temple of Artemis at Ephesus?,,
Game Show Trivia,Tomb built for King Mausolus and his wife in 334 B.C.; destroyed by earthquake in 1401 A.D.,What was the Mausoleum at Halicarnassus?,,
Game Show Trivia,Statue of Helios built in 280 B.C.; destroyed by earthquake 56 years later.,What was the Colossus of Rhodes?,,
Game Show Trivia,Built in 290 B.C. by the Ptolemies; damaged by earthquakes and fell into ruin.,What was the Lighthouse (Pharos) at Alexandria?,,
Game Show Trivia,"Nile River valley, Indus River valley, Yellow River valley, Tigris & Euphrates Rivers region",What are the four earliest centers of civilization?,,
Game Show Trivia,"A human relative extinct for 24,000 years.",Who were the Neanderthals?,,
Game Show Trivia,A diminutive human relative found on the Indonesian island; also called 'the Hobbit'.,Who was the Flores Man?,,
Game Show Trivia,Human fossils found in China in the 1920s.,What is Peking Man?,,
Game Show Trivia,A human ancestor found in Germany in 1907.,What is Heidelberg Man?,,
Game Show Trivia,A human fossil found in Indonesia in 1891.,What is Java Man?,,
Game Show Trivia,"5,000-year-old human remains found in the Alps in 1991.",Who was the Ice Man (Ötzi)?,,
Game Show Trivia,A 3.1 million-year-old hominid found in Ethiopia.,Who was Lucy?,,
Game Show Trivia,A paleoanthropological hoax presented in London in 1912.,What was the Piltdown Man?,,
Game Show Trivia,"Jericho, c. 9,000 B.C.",What is the earliest known walled city?,,
Game Show Trivia,An ancient Sumerian city.,What was Ur?,,
Game Show Trivia,An ancient North African city.,What was Carthage?,,
Game Show Trivia,An ancient Sicilian city.,What was Syracuse?,,
Game Show Trivia,An ancient empire of the Tigris River Valley.,What was the Assyrian Empire?,,
Game Show Trivia,Ancient people of the Tigris-Euphrates region.,Who were the Sumerians?,,
Game Show Trivia,The capital of the Assyrian Empire.,What was Nineveh?,,
Game Show Trivia,Civilization of southern Mesopotamia.,What was Sumeria?,,
Game Show Trivia,"The earliest known writing system, developed by the Sumerians.",What is Cuneiform?,,
Game Show Trivia,An ancient city of Crete.,What was Knossos?,,
Game Show Trivia,An ancient city in Asia Minor.,What was Troy?,,
Game Show Trivia,Ancient land 'between two rivers'.,What does Mesopotamia mean?,,
Game Show Trivia,An ancient Mesopotamian city on the Euphrates River.,What was Babylon?,,
Game Show Trivia,A construction project in Egypt around 2600 B.C.,What was the Great Pyramid of Cheops (Khufu)?,,
Game Show Trivia,An Egyptian kingdom from 26th to 21st century B.C.,What was the Old Kingdom?,,
Game Show Trivia,An Egyptian dynasty that ruled from 323 to 30 B.C.,Who were the Ptolemies?,,
Game Show Trivia,Pharaoh of the Eighteenth Dynasty of Egypt.,Who was Akhenaten?,,
Game Show Trivia,Akhenaten’s wife.,Who was Nefertiti?,,
Game Show Trivia,Akhenaten’s son.,Who was King Tut (Tutankhamun)?,,
Game Show Trivia,An ancient Egyptian 'City of the Sun'.,What was Heliopolis?,,
Game Show Trivia,Ancient Egyptian capitals.,What were Memphis and Thebes?,,
Game Show Trivia,An ancient Egyptian book found in tombs.,What is the Book of the Dead?,,
Game Show Trivia,An ancient Egyptian obelisk.,What is Cleopatra’s Needle?,,
Game Show Trivia,An Egyptian insect talisman shaped like a beetle.,What is a scarab?,,
Game Show Trivia,Back,Front,,
Game Show Trivia,Uruk king from 2500 B.C.,Who was Gilgamesh?,,
Game Show Trivia,Nebuchadnezzar II.,Who created the Hanging Gardens of Babylon?,,
Game Show Trivia,"Hammurabi, c. 1780 B.C.",Who gave the first legal code of Babylon?,,
Game Show Trivia,"Indo-European people of Anatolia (Asia Minor), c. 1900 B.C.",Who were the Hittites?,,
Game Show Trivia,"Astronomical site in Britain, c. 1800 B.C.",What is Stonehenge?,,
Game Show Trivia,A curving region of the Middle East containing moist and fertile land.,What is the Fertile Crescent?,,
Game Show Trivia,Ancient mariners from west coast of Fertile Crescent; founded Carthage.,Who were the Phoenicians?,,
Game Show Trivia,A Phoenician port.,What was Tyre?,,
Game Show Trivia,Civilization of Crete.,What was the Minoan civilization?,,
Game Show Trivia,"Greek war in Asia Minor, c. 1260 B.C.",What was the Trojan War?,,
Game Show Trivia,"In Greece, 776 B.C.",When did the Olympic Games begin?,,
Game Show Trivia,"Athenian lawmaker, 621 B.C.",Who was Draco?,,
Game Show Trivia,"Athenian statesman, lawmaker & poet, 7th to 6th century B.C.",Who was Solon?,,
Game Show Trivia,"Lao-tse, c. 590 B.C.",Who founded Taoism?,,
Game Show Trivia,Babylonians.,Who destroyed Jerusalem in 586 B.C.?,,
Game Show Trivia,Babylonian King c. 605–562 B.C.,Who was Nebuchadnezzar II?,,
Game Show Trivia,Greek center of the world.,What was the Oracle at Delphi?,,
Game Show Trivia,"Settlers of central Italy, 550 B.C.",Who were the Etruscans?,,
Game Show Trivia,"He developed ethical & social philosophy in China, c. 500 B.C.",Who was Confucius?,,
Game Show Trivia,"The Greeks, 490 B.C.",Who defeated the Persians at the Battle of Marathon?,,
Game Show Trivia,War between Sparta and Athens starting in 431 B.C.,What was the Peloponnesian War?,,
Game Show Trivia,"Greek philosopher executed by hemlock poisoning, 399 B.C.",Who was Socrates?,,
Game Show Trivia,"King of Macedonia, 336 B.C.",Who was Alexander the Great?,,
Game Show Trivia,Alexander the Great’s father.,Who was Philip II of Macedon?,,
Game Show Trivia,Alexander the Great’s teacher.,Who was Aristotle?,,
Game Show Trivia,A riddle solved by Alexander the Great.,What was the Gordian Knot?,,
Game Show Trivia,"School founded by Plato, c. 387 B.C.",What was the Academy?,,
Game Show Trivia,"School founded by Aristotle, 334 B.C.",What was the Lyceum?,,
Game Show Trivia,"Central Asian nomads, 300 B.C.",Who were the Huns?,,
Game Show Trivia,Great Hun leader.,Who was Attila?,,
Game Show Trivia,Alexandria (Egypt).,Where was the great library located around 290 B.C.?,,
Game Show Trivia,Wars between Rome and Carthage starting in 264 B.C.,What were the Punic Wars?,,
Game Show Trivia,Carthaginian who invaded Italy in 218 B.C.,Who was Hannibal?,,
Game Show Trivia,Hannibal’s father.,Who was Hamilcar?,,
Game Show Trivia,Chinese construction project begun around 215 B.C.,What was the Great Wall of China?,,
Game Show Trivia,"Central Asia caravan route, established around 110 B.C.",What was the Silk Road?,,
Game Show Trivia,Empire ruled by Darius and Xerxes.,What was the Persian Empire?,,
Game Show Trivia,Persian throne looted from India.,What was the Peacock Throne?,,
Game Show Trivia,Ancient capital of Laconia.,What was Sparta?,,
Game Show Trivia,Leader of the 300 Spartans.,Who was Leonidas?,,
Game Show Trivia,Pass defended by the 300 Spartans.,What was Thermopylae?,,
Game Show Trivia,Led a slave revolt against Rome in 71 B.C.,Who was Spartacus?,,
Game Show Trivia,"Germanic people of central Europe, 6th century A.D.",Who were the Goths?,,
Game Show Trivia,Ancient Japanese warriors ('those who serve').,Who were the Samurai?,,
Game Show Trivia,A man-made relic.,What is an artifact?,,
Game Show Trivia,Key artifact to deciphering Egyptian hieroglyphs.,What is the Rosetta Stone?,,
Game Show Trivia,British Museum.,Where is the Rosetta Stone located?,,
Game Show Trivia,Cuneiform 'Rosetta Stone' from Persia.,What is the Behistun Inscription?,,
Game Show Trivia,The Parthenon.,Where were the Elgin Marbles originally located?,,
Game Show Trivia,Stone-building Indians of Central America.,Who were the Olmec?,,
Game Show Trivia,Civilization of southern Mexico.,Who were the Aztecs?,,
Game Show Trivia,Capital of the Aztec civilization.,What was Tenochtitlan?,,
Game Show Trivia,Civilization of Mexico and Guatemala.,Who were the Maya?,,
Game Show Trivia,Civilization of Peru.,Who were the Inca?,,
Game Show Trivia,Where is Palmyra located today?,Syria.,,
Game Show Trivia,Where are Ur and Babylon located today?,Iraq.,,
Game Show Trivia,Oyster, clam,,
Game Show Trivia,Freshwater pearl source,Mussels,,
Game Show Trivia,“Blue point” bivalve,Oyster,,
Game Show Trivia,“Cherrystone” bivalve,Clam,,
Game Show Trivia,Stone & snow sea creatures,Crabs,,
Game Show Trivia,Animal with largest eye,Giant squid,,
Game Show Trivia,Sea hedgehog,Sea urchin,,
Game Show Trivia,Crab with one big claw,Fiddler crab,,
Game Show Trivia,Crab that uses a discarded shell,Hermit crab,,
Game Show Trivia,Crab & scorpion phylum,Arthropod,,
Game Show Trivia,Cone gastropod,Snail,,
Game Show Trivia,Best-swimming bear,Polar bear,,
Game Show Trivia,Largest bears,Polar and Kodiak bears,,
Game Show Trivia,Smallest bear,Sun bear (SE Asia),,
Game Show Trivia,South America’s only bear,Spectacled bear,,
Game Show Trivia,Pouched animals of Australia,Marsupials,,
Game Show Trivia,Eucalyptus-eating marsupial,Koala (not a bear),,
Game Show Trivia,Baby kangaroo, koala or opossum,,
Game Show Trivia,The kangaroo’s smaller relative,Wallaby,,
Game Show Trivia,Marsupial with the strongest jaws,Tasmanian Devil,,
Game Show Trivia,“Hairy nosed” marsupial,Wombat,,
Game Show Trivia,Symbol of the World Wildlife Fund,(Giant) Panda,,
Game Show Trivia,North American marsupial relative,Raccoon,,
Game Show Trivia,South American raccoon relative,Coati,,
Game Show Trivia,Source of mohair,(Angora) Goat,,
Game Show Trivia,Camelopard aka,Giraffe,,
Game Show Trivia,Giraffe’s smaller African relative,Okapi,,
Game Show Trivia,Himalayan ox,Yak,,
Game Show Trivia,Woolly ox of northern Canada & Greenland,Musk-ox,,
Game Show Trivia,Long-horned European member of goat family,Ibex,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Lil Wayne,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,John Denver,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Coolio,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Gerald Ford,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Usher,
,,,,
,,,The Big Bopper,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Rock Hudson,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Sugar Ray Robinson,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Mickey Rooney,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Wolverine,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,, & mussel class,Bivalves
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Joey,
