Artist,Song,Year,Song Year,Header
Jimi Hendrix, Purple Haze,1967, Purple Haze (1967),Band/Artist from Song
Joan Jett,Bad Reputation,1980,Bad Reputation (1980),Band/Artist from Song
N.W.A.,Straight Outta Compton,1988,Straight Outta Compton (1988),Band/Artist from Song
Joni Mitchell,River,1971,River (1971),Band/Artist from Song
Faces,Ooh La La,1973,Ooh La La (1973),Band/Artist from Song
Beastie Boys,Sabotage,1994,Sabotage (1994),Band/Artist from Song
Pavement,Summer Babe (Winter Version),1992,Summer Babe (Winter Version) (1992),Band/Artist from Song
The Beatles,Eleanor Rigby,1966,Eleanor Rigby (1966),Band/Artist from Song
Jerry Lee Lewis,Great Balls of Fire,1957,Great Balls of Fire (1957),Band/Artist from Song
The Digital Underground,The Humpty Dance,1990,The Humpty Dance (1990),Band/Artist from Song
Backstreet Boys,I Want It That Way,1999,I Want It That Way (1999),Band/Artist from Song
Big Star,September Gurls,1974,September Gurls (1974),Band/Artist from Song
Aaliyah,Are You That Somebody?,1998,Are You That Somebody? (1998),Band/Artist from Song
Hank Williams, Your Cheatin' Heart,1953, Your Cheatin' Heart (1953),Band/Artist from Song
Bill Withers,Lean on Me,1972,Lean on Me (1972),Band/Artist from Song
New Order,Blue Monday,1983,Blue Monday (1983),Band/Artist from Song
Supremes,You Keep Me Hangin' On,1966,You Keep Me Hangin' On (1966),Band/Artist from Song
Deee-Lite,Groove Is in the Heart,1990,Groove Is in the Heart (1990),Band/Artist from Song
The Who,My Generation,1965,My Generation (1965),Band/Artist from Song
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987,I Wanna Dance with Somebody (Who Loves Me) (1987),Band/Artist from Song
The Byrds, Mr. Tambourine Man,1965, Mr. Tambourine Man (1965),Band/Artist from Song
Woody Guthrie,This Land Is Your Land,1951,This Land Is Your Land (1951),Band/Artist from Song
Beyonce, Single Ladies (Put a Ring on It),2008, Single Ladies (Put a Ring on It) (2008),Band/Artist from Song
CCR,Fortunate Son,1969,Fortunate Son (1969),Band/Artist from Song
The Smiths,There Is a Light That Never Goes Out,1986,There Is a Light That Never Goes Out (1986),Band/Artist from Song
Joni Mitchell,"Both Sides, Now",1969,"Both Sides, Now (1969)",Band/Artist from Song
Derek and the Dominos,Layla,1970,Layla (1970),Band/Artist from Song
Eminem,Stan,2000,Stan (2000),Band/Artist from Song
"Crosby, Stills & Nash",Suite: Judy Blue Eyes,1969,Suite: Judy Blue Eyes (1969),Band/Artist from Song
Ike and Tina Turner,River Deep – Mountain High,1966,River Deep – Mountain High (1966),Band/Artist from Song
New Order,Bizarre Love Triangle,1986,Bizarre Love Triangle (1986),Band/Artist from Song
Tom Petty,Free Fallin',1989,Free Fallin' (1989),Band/Artist from Song
Wilson Pickett,In the Midnight Hour,1965,In the Midnight Hour (1965),Band/Artist from Song
Stevie Nicks,Edge of Seventeen,1981,Edge of Seventeen (1981),Band/Artist from Song
Elvis,Jailhouse Rock,1957,Jailhouse Rock (1957),Band/Artist from Song
Mobb Deep,Shook Ones (Part II),1995,Shook Ones (Part II) (1995),Band/Artist from Song
Steely Dan,Deacon Blues,1977,Deacon Blues (1977),Band/Artist from Song
The Rolling Stones, Paint It Black,1966, Paint It Black (1966),Band/Artist from Song
Boston,More Than a Feeling,1976,More Than a Feeling (1976),Band/Artist from Song
U2,With or Without You,1987,With or Without You (1987),Band/Artist from Song
Funkadelic,One Nation Under a Groove,1978,One Nation Under a Groove (1978),Band/Artist from Song
Don Henley,The Boys of Summer,1984,The Boys of Summer (1984),Band/Artist from Song
Hole,Doll Parts,1994,Doll Parts (1994),Band/Artist from Song
Rage Against the Machine,Killing in the Name,1992,Killing in the Name (1992),Band/Artist from Song
Glen Campbell,Wichita Lineman,1968,Wichita Lineman (1968),Band/Artist from Song
Britney Spears, …Baby One More Time,1998, …Baby One More Time (1998),Band/Artist from Song
David Bowie, Young Americans,1975, Young Americans (1975),Band/Artist from Song
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",1970,"Signed, Sealed, Delivered I'm Yours (1970)",Band/Artist from Song
Elton John,Your Song,1970,Your Song (1970),Band/Artist from Song
Johnny Cash,Ring of Fire,1963,Ring of Fire (1963),Band/Artist from Song
David Bowie, Changes,1971, Changes (1971),Band/Artist from Song
Aerosmith,Dream On,1973,Dream On (1973),Band/Artist from Song
Marvin Gaye,Sexual Healing,1982,Sexual Healing (1982),Band/Artist from Song
Ann Peebles,I Can't Stand the Rain,1973,I Can't Stand the Rain (1973),Band/Artist from Song
James Brown,Sex Machine,1970,Sex Machine (1970),Band/Artist from Song
Patsy Cline,Crazy,1961,Crazy (1961),Band/Artist from Song
PJ Harvey,Rid of Me,1993,Rid of Me (1993),Band/Artist from Song
Rolling Stones,Wild Horses,1971,Wild Horses (1971),Band/Artist from Song
Geto Boys,Mind Playing Tricks on Me,1991,Mind Playing Tricks on Me (1991),Band/Artist from Song
Bobby Gentry, Ode to Billie Joe,1967, Ode to Billie Joe (1967),Band/Artist from Song
N.W.A.,Fuck tha Police,1988,Fuck tha Police (1988),Band/Artist from Song
David Bowie, Space Oddity,1969, Space Oddity (1969),Band/Artist from Song
Jimi Hendrix, Little Wing,1967, Little Wing (1967),Band/Artist from Song
Bob Dylan,Subterranean Homesick Blues,1965,Subterranean Homesick Blues (1965),Band/Artist from Song
Staple Singers,I'll Take You There,1972,I'll Take You There (1972),Band/Artist from Song
Michael Jackson, Beat It,1982, Beat It (1982),Band/Artist from Song
Sinead O'Connor,Nothing Compares 2 U,1990,Nothing Compares 2 U (1990),Band/Artist from Song
Stevie Wonder,You Are the Sunshine of My Life,1972,You Are the Sunshine of My Life (1972),Band/Artist from Song
Simon & Garfunkel,The Sounds of Silence,1964,The Sounds of Silence (1964),Band/Artist from Song
The Byrds, Eight Miles High,1966, Eight Miles High (1966),Band/Artist from Song
Lou Reed,Walk on the Wild Side,1972,Walk on the Wild Side (1972),Band/Artist from Song
Pink Floyd,Comfortably Numb,1979,Comfortably Numb (1979),Band/Artist from Song
Billie Eilish, Bad Guy,2019, Bad Guy (2019),Band/Artist from Song
Van Halen,Jump,1983,Jump (1983),Band/Artist from Song
The Kinks, You Really Got Me,1964, You Really Got Me (1964),Band/Artist from Song
Flamingos,I Only Have Eyes for You,1959,I Only Have Eyes for You (1959),Band/Artist from Song
R.E.M.,Radio Free Europe,1983,Radio Free Europe (1983),Band/Artist from Song
Television,Marquee Moon,1977,Marquee Moon (1977),Band/Artist from Song
Nina Simone,Mississippi Goddam,1964,Mississippi Goddam (1964),Band/Artist from Song
Louis Armstrong,What a Wonderful World,1967,What a Wonderful World (1967),Band/Artist from Song
Five Satins,In the Still of the Nite,1956,In the Still of the Nite (1956),Band/Artist from Song
Tom Petty,American Girl,1976,American Girl (1976),Band/Artist from Song
Dusty Springfield,Son of a Preacher Man,1968,Son of a Preacher Man (1968),Band/Artist from Song
Eminem,Lose Yourself,2002,Lose Yourself (2002),Band/Artist from Song
Mott the Hoople,All the Young Dudes,1972,All the Young Dudes (1972),Band/Artist from Song
Hank Williams,I'm So Lonesome I Could Cry,1949,I'm So Lonesome I Could Cry (1949),Band/Artist from Song
Bob Dylan, Mr. Tambourine Man,1965, Mr. Tambourine Man (1965),Band/Artist from Song
Fleetwood Mac,Landslide,1975,Landslide (1975),Band/Artist from Song
Nick Drake,Pink Moon,1972,Pink Moon (1972),Band/Artist from Song
Madonna, Into the Groove,1985, Into the Groove (1985),Band/Artist from Song
R.E.M.,Nightswimming,1992,Nightswimming (1992),Band/Artist from Song
The Who,Baba O'Riley,1971,Baba O'Riley (1971),Band/Artist from Song
Meters,Cissy Strut,1969,Cissy Strut (1969),Band/Artist from Song
Sonic Youth,Teenage Riot,1988,Teenage Riot (1988),Band/Artist from Song
The Kingsmen,Louie Louie,1963,Louie Louie (1963),Band/Artist from Song
The Strokes,Last Nite,2001,Last Nite (2001),Band/Artist from Song
Howlin' Wolf,Spoonful,1960,Spoonful (1960),Band/Artist from Song
James Brown,Super Freak,1981,Super Freak (1981),Band/Artist from Song
CCR,Proud Mary,1969,Proud Mary (1969),Band/Artist from Song
Shirelles,Will You Love Me Tomorrow,1960,Will You Love Me Tomorrow (1960),Band/Artist from Song
Green Day,Basket Case,1994,Basket Case (1994),Band/Artist from Song
Elton John,Rocket Man,1972,Rocket Man (1972),Band/Artist from Song
Led Zeppelin,Kashmir,1975,Kashmir (1975),Band/Artist from Song
Fats Domino,Blueberry Hill,1956,Blueberry Hill (1956),Band/Artist from Song
James Taylor,Fire and Rain,1970,Fire and Rain (1970),Band/Artist from Song
Outkast,Ms. Jackson,2000,Ms. Jackson (2000),Band/Artist from Song
Rolling Stones,Jumpin' Jack Flash,1968,Jumpin' Jack Flash (1968),Band/Artist from Song
The Clash,London Calling,1980,London Calling (1980),Band/Artist from Song
George Jones,He Stopped Loving Her Today,1980,He Stopped Loving Her Today (1980),Band/Artist from Song
Rod Stewart,Maggie May,1971,Maggie May (1971),Band/Artist from Song
Bob Marley,"No Woman, No Cry",1975,"No Woman, No Cry (1975)",Band/Artist from Song
Madonna,Vogue,1990,Vogue (1990),Band/Artist from Song
Blondie,Heart of Glass,1979,Heart of Glass (1979),Band/Artist from Song
Arianna Grande,"Thank U, Next",2019,"Thank U, Next (2019)",Band/Artist from Song
Otis Redding,Try a Little Tenderness,1966,Try a Little Tenderness (1966),Band/Artist from Song
The Beatles,She Loves You,1964,She Loves You (1964),Band/Artist from Song
Tina Turner,What's Love Got to Do with It,1984,What's Love Got to Do with It (1984),Band/Artist from Song
Journey,Don't Stop Believin',1981,Don't Stop Believin' (1981),Band/Artist from Song
Eric B. and Rakim,Paid in Full,1987,Paid in Full (1987),Band/Artist from Song
Ben E. King,Stand by Me,1961,Stand by Me (1961),Band/Artist from Song
Martha and the Vandellas,Dancing in the Street,1964,Dancing in the Street (1964),Band/Artist from Song
Drake,"Hold On, We're Going Home",2013,"Hold On, We're Going Home (2013)",Band/Artist from Song
Led Zeppelin,Whole Lotta Love,1969,Whole Lotta Love (1969),Band/Artist from Song
TLC,Waterfalls,1995,Waterfalls (1995),Band/Artist from Song
George Michael,Freedom! '90,1990,Freedom! '90 (1990),Band/Artist from Song
The Sex Pistols,Anarchy in the U.K.,1977,Anarchy in the U.K. (1977),Band/Artist from Song
Buddy Holly,That'll Be the Day,1957,That'll Be the Day (1957),Band/Artist from Song
Talking Heads,This Must Be the Place (Naïve Melody),1983,This Must Be the Place (Naïve Melody) (1983),Band/Artist from Song
Impressions,People Get Ready,1965,People Get Ready (1965),Band/Artist from Song
The Beatles,Let It Be,1970,Let It Be (1970),Band/Artist from Song
X-Ray Spex,Oh Bondage Up Yours!,1977,Oh Bondage Up Yours! (1977),Band/Artist from Song
Marvin Gaye, I Heard It Through the Grapevine,1968, I Heard It Through the Grapevine (1968),Band/Artist from Song
Radiohead,Creep,1992,Creep (1992),Band/Artist from Song
Aretha Franklin,I Say a Little Prayer,1968,I Say a Little Prayer (1968),Band/Artist from Song
Rob Base and DJ E-Z Rock,It Takes Two,1988,It Takes Two (1988),Band/Artist from Song
Etta James,At Last,1960,At Last (1960),Band/Artist from Song
Britney Spears, Toxic,2003, Toxic (2003),Band/Artist from Song
Stevie Wonder,Higher Ground,1973,Higher Ground (1973),Band/Artist from Song
R.E.M., Losing My Religion,1991, Losing My Religion (1991),Band/Artist from Song
Bruce Springsteen,Thunder Road,1975,Thunder Road (1975),Band/Artist from Song
The Beatles, Something,1969, Something (1969),Band/Artist from Song
Sly and the Family Stone,Everyday People,1968,Everyday People (1968),Band/Artist from Song
The Cure, Just Like Heaven,1987, Just Like Heaven (1987),Band/Artist from Song
Wu-Tang Clan,C.R.E.A.M.,1994,C.R.E.A.M. (1994),Band/Artist from Song
The Rolling Stones,Sympathy for the Devil,1968,Sympathy for the Devil (1968),Band/Artist from Song
David Bowie, Life on Mars?,1971, Life on Mars? (1971),Band/Artist from Song
Jackson 5,I Want You Back,1969,I Want You Back (1969),Band/Artist from Song
Alanis Morisette,You Oughta Know,1995,You Oughta Know (1995),Band/Artist from Song
Chuck Berry,Maybellene,1955,Maybellene (1955),Band/Artist from Song
Yeah Yeah Yeahs,Maps,2003,Maps (2003),Band/Artist from Song
Bob Dylan,Blowin' in the Wind,1963,Blowin' in the Wind (1963),Band/Artist from Song
Bee Gees,Stayin' Alive,1977,Stayin' Alive (1977),Band/Artist from Song
The Beatles,In My Life,1965,In My Life (1965),Band/Artist from Song
Patti Smith,Gloria,1975,Gloria (1975),Band/Artist from Song
Jay-Z,99 Problems,2003,99 Problems (2003),Band/Artist from Song
Oasis,Wonderwall,1995,Wonderwall (1995),Band/Artist from Song
Whitney Houston,I Will Always Love You,1992,I Will Always Love You (1992),Band/Artist from Song
Kelly Clarkson, Since U Been Gone,2004, Since U Been Gone (2004),Band/Artist from Song
Little Richard,"Good Golly, Miss Molly",1958,"Good Golly, Miss Molly (1958)",Band/Artist from Song
UGK feat. Outkast,International Players Anthem (I Choose You),2007,International Players Anthem (I Choose You) (2007),Band/Artist from Song
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1967,(You Make Me Feel Like) A Natural Woman (1967),Band/Artist from Song
The Beatles, Hey Jude,1968, Hey Jude (1968),Band/Artist from Song
Guns N' Roses,Sweet Child o' Mine,1987,Sweet Child o' Mine (1987),Band/Artist from Song
LCD Soundsystem,All My Friends,2007,All My Friends (2007),Band/Artist from Song
The Rolling Stones, Tumbling Dice,1972, Tumbling Dice (1972),Band/Artist from Song
Prince,Kiss,1986,Kiss (1986),Band/Artist from Song
Al Green,Let's Stay Together,1971,Let's Stay Together (1971),Band/Artist from Song
Bob Dylan,Desolation Row,1965,Desolation Row (1965),Band/Artist from Song
Adele,Rolling in the Deep,2011,Rolling in the Deep (2011),Band/Artist from Song
Velvet Underground,I'm Waiting for the Man,1967,I'm Waiting for the Man (1967),Band/Artist from Song
Ray Charles, What'd I Say,1957, What'd I Say (1957),Band/Artist from Song
Amy Winehouse,Back to Black,2006,Back to Black (2006),Band/Artist from Song
The Four Tops,Reach Out (I'll Be There),1967,Reach Out (I'll Be There) (1967),Band/Artist from Song
Modern Lovers,Roadrunner,1976,Roadrunner (1976),Band/Artist from Song
Johnny Cash,I Walk the Line,1956,I Walk the Line (1956),Band/Artist from Song
Pulp,Common People,1996,Common People (1996),Band/Artist from Song
Leonard Cohen,Hallelujah,1984,Hallelujah (1984),Band/Artist from Song
Beyonce,Formation,2016,Formation (2016),Band/Artist from Song
The Beatles,Yesterday,1965,Yesterday (1965),Band/Artist from Song
Tracy Chapman,Fast Car,1988,Fast Car (1988),Band/Artist from Song
Elvis,Suspicious Minds,1969,Suspicious Minds (1969),Band/Artist from Song
Taylor Swift,All Too Well,2013,All Too Well (2013),Band/Artist from Song
Chic,Good Times,1979,Good Times (1979),Band/Artist from Song
Bob Dylan, Tangled Up in Blue,1975, Tangled Up in Blue (1975),Band/Artist from Song
Simon & Garfunkel,Bridge Over Troubled Water,1970,Bridge Over Troubled Water (1970),Band/Artist from Song
"Earth, Wind & Fire",September,1978,September (1978),Band/Artist from Song
Ramones,Blitzkrieg Bop,1976,Blitzkrieg Bop (1976),Band/Artist from Song
Dolly Parton,Jolene,1974,Jolene (1974),Band/Artist from Song
U2,One,1992,One (1992),Band/Artist from Song
Led Zeppelin,Stairway to Heaven,1971,Stairway to Heaven (1971),Band/Artist from Song
Kate Bush,Running Up That Hill,1985,Running Up That Hill (1985),Band/Artist from Song
Grandmaster Flash and the Furious Five,The Message,1982,The Message (1982),Band/Artist from Song
The Band,The Weight,1968,The Weight (1968),Band/Artist from Song
Sly and the Family Stone,Family Affair,1971,Family Affair (1971),Band/Artist from Song
Missy Elliott,Work It,2000,Work It (2000),Band/Artist from Song
Madonna, Like a Prayer,1989, Like a Prayer (1989),Band/Artist from Song
The Miracles,The Tracks of My Tears,1965,The Tracks of My Tears (1965),Band/Artist from Song
The Beach Boys, Good Vibrations,1966, Good Vibrations (1966),Band/Artist from Song
Donna Summer,I Feel Love,1977,I Feel Love (1977),Band/Artist from Song
Dionne Warwick,Walk on By,1964,Walk on By (1964),Band/Artist from Song
Daddy Yankee,Gasolina,2010,Gasolina (2010),Band/Artist from Song
Lauryn Hill,Doo Wop (That Thing),1998,Doo Wop (That Thing) (1998),Band/Artist from Song
Radiohead,Idioteque,2000,Idioteque (2000),Band/Artist from Song
Elton John,Tiny Dancer,1972,Tiny Dancer (1972),Band/Artist from Song
M.I.A., Paper Planes,2008, Paper Planes (2008),Band/Artist from Song
Kendrick Lamar,Alright,2015,Alright (2015),Band/Artist from Song
Michael Jackson, Billie Jean,1982, Billie Jean (1982),Band/Artist from Song
The Temptations,My Girl,1965,My Girl (1965),Band/Artist from Song
Bob Marley,Redemption Song,1980,Redemption Song (1980),Band/Artist from Song
Joy Division,Love Will Tear Us Apart,1980,Love Will Tear Us Apart (1980),Band/Artist from Song
Jimi Hendrix, All Along the Watchtower,1968, All Along the Watchtower (1968),Band/Artist from Song
Outkast,B.O.B.,2000,B.O.B. (2000),Band/Artist from Song
Otis Redding,(Sittin' On) The Dock of the Bay,1967,(Sittin' On) The Dock of the Bay (1967),Band/Artist from Song
Prince,When Doves Cry,1984,When Doves Cry (1984),Band/Artist from Song
The White Stripes,Seven Nation Army,2003,Seven Nation Army (2003),Band/Artist from Song
Little Richard,Tutti Frutti,1955,Tutti Frutti (1955),Band/Artist from Song
James Brown,Papa's Got a Brand New Bag,1966,Papa's Got a Brand New Bag (1966),Band/Artist from Song
Chuck Berry,Johnny B. Goode,1958,Johnny B. Goode (1958),Band/Artist from Song
The Notorious B.I.G.,Juicy,1994,Juicy (1994),Band/Artist from Song
The Rolling Stones,(I Can't Get No) Satisfaction,1965,(I Can't Get No) Satisfaction (1965),Band/Artist from Song
Lorde, Royals,2011, Royals (2011),Band/Artist from Song
Dr. Dre,Nuthin' but a 'G' Thang,1992,Nuthin' but a 'G' Thang (1992),Band/Artist from Song
Talking Heads,Once in a Lifetime,1980,Once in a Lifetime (1980),Band/Artist from Song
Bruce Springsteen,Born to Run,1975,Born to Run (1975),Band/Artist from Song
Joni Mitchell,A Case of You,1971,A Case of You (1971),Band/Artist from Song
Kanye West,Runaway,2010,Runaway (2010),Band/Artist from Song
The Beatles, A Day in the Life,1967, A Day in the Life (1967),Band/Artist from Song
David Bowie, Heroes,1977, Heroes (1977),Band/Artist from Song
The Ronettes,Be My Baby,1963,Be My Baby (1963),Band/Artist from Song
Billie Holiday,Strange Fruit,1939,Strange Fruit (1939),Band/Artist from Song
Robyn,Dancing on My Own,2010,Dancing on My Own (2010),Band/Artist from Song
John Lennon, Imagine,1971, Imagine (1971),Band/Artist from Song
Prince,Purple Rain,1984,Purple Rain (1984),Band/Artist from Song
Queen,Bohemian Rhapsody,1975,Bohemian Rhapsody (1975),Band/Artist from Song
Beyoncé feat. Jay-Z, Crazy in Love,2003, Crazy in Love (2003),Band/Artist from Song
The Beatles,I Want to Hold Your Hand,1963,I Want to Hold Your Hand (1963),Band/Artist from Song
The Kinks,Waterloo Sunset,1967,Waterloo Sunset (1967),Band/Artist from Song
The Rolling Stones,Gimme Shelter,1969,Gimme Shelter (1969),Band/Artist from Song
Stevie Wonder,Superstition,1972,Superstition (1972),Band/Artist from Song
The Beach Boys,God Only Knows,1966,God Only Knows (1966),Band/Artist from Song
Outkast, Hey Ya!,2003, Hey Ya! (2003),Band/Artist from Song
Fleetwood Mac,Dreams,1977,Dreams (1977),Band/Artist from Song
Missy Elliott,Get Ur Freak On,2001,Get Ur Freak On (2001),Band/Artist from Song
The Beatles, Strawberry Fields Forever,1967, Strawberry Fields Forever (1967),Band/Artist from Song
Marvin Gaye,What's Going On,1971,What's Going On (1971),Band/Artist from Song
Nirvana, Smells Like Teen Spirit,1991, Smells Like Teen Spirit (1991),Band/Artist from Song
Bob Dylan, Like a Rolling Stone,1965, Like a Rolling Stone (1965),Band/Artist from Song
Sam Cooke,A Change Is Gonna Come,1964,A Change Is Gonna Come (1964),Band/Artist from Song
Public Enemy,Fight the Power,1989,Fight the Power (1989),Band/Artist from Song
Aretha Franklin,Respect,1967,Respect (1967),Band/Artist from Song
